is_nine,pred_prob,f_1
FALSE,0,-272.2346428
FALSE,0,229.2275964
FALSE,0.002,-446.8224698
FALSE,0,274.6105461
FALSE,0,185.6316308
FALSE,0,-456.3943559
FALSE,0.01,251.9871198
FALSE,0,416.4724899
FALSE,0,-104.799732
FALSE,0,-478.3833714
FALSE,0,460.2633416
FALSE,0,273.8705417
FALSE,0,-255.7055959
FALSE,0,572.2617161
FALSE,0,-308.3832956
FALSE,0.001,759.4734055
FALSE,0.001,287.1899783
FALSE,0,208.9483493
FALSE,0,64.45911819
FALSE,0,-455.0972922
FALSE,0,602.1241733
FALSE,0,245.4882754
FALSE,0,-375.3791404
FALSE,0,251.8530393
FALSE,0,31.37283953
FALSE,0,303.6824947
FALSE,0,155.9867426
FALSE,0,452.735855
FALSE,0.001,-153.0440812
FALSE,0,423.1105828
FALSE,0,-163.4140453
FALSE,0,1080.214792
FALSE,0,67.97034066
FALSE,0,-839.9816371
FALSE,0,-229.8823368
FALSE,0,221.0998541
FALSE,0,-229.5974476
FALSE,0.001,113.8989561
FALSE,0.003,-331.3256887
FALSE,0.003,-325.8550252
FALSE,0,-16.05763942
FALSE,0,167.4993481
FALSE,0,-471.4915125
FALSE,0,24.07823753
FALSE,0.002,61.25364928
FALSE,0.001,304.838111
FALSE,0,-465.2388474
FALSE,0,751.2027197
FALSE,0,321.5046241
FALSE,0,-168.6085152
FALSE,0.135,884.0249387
FALSE,0.142,1077.130172
FALSE,0.111,445.2457517
FALSE,0.172,1140.142302
FALSE,0.166,394.7681321
FALSE,0.105,-611.1974588
FALSE,0.186,-529.9223192
FALSE,0.155,105.766175
TRUE,0.136,337.8151331
TRUE,0.15,619.0434814
FALSE,0.182,-660.5518626
FALSE,0.153,-26.90505081
FALSE,0.197,1096.838296
FALSE,0.111,-253.944174
FALSE,0.142,528.134055
FALSE,0.104,738.393264
FALSE,0.145,-83.73436101
FALSE,0.112,1218.393553
FALSE,0.121,-314.697067
TRUE,0.158,1252.098185
TRUE,0.113,1098.606397
FALSE,0.133,267.2400356
FALSE,0.113,-170.6927135
TRUE,0.177,-46.85846545
FALSE,0.191,196.8746588
FALSE,0.156,-80.22883068
FALSE,0.184,-876.1996249
FALSE,0.171,-214.5340196
FALSE,0.107,303.083622
FALSE,0.177,178.8848408
FALSE,0.123,800.6747814
FALSE,0.114,-226.0455974
FALSE,0.148,-338.8057764
TRUE,0.141,302.2471263
FALSE,0.134,-259.7653883
TRUE,0.137,-143.0775283
TRUE,0.142,450.4451159
TRUE,0.12,448.0688318
FALSE,0.187,-1053.606332
FALSE,0.183,83.00465495
FALSE,0.134,-484.7951158
FALSE,0.149,1347.496731
FALSE,0.116,736.8701416
FALSE,0.144,1056.818673
FALSE,0.109,-267.7209041
FALSE,0.108,135.9144709
FALSE,0.102,316.4673354
TRUE,0.184,-301.4329205
FALSE,0.123,-864.0164894
FALSE,0.115,-1097.807479
TRUE,0.244,777.4352728
TRUE,0.266,-337.7085235
FALSE,0.295,-745.6942767
FALSE,0.22,516.5027126
TRUE,0.234,698.0183436
FALSE,0.222,521.1520076
TRUE,0.257,-3.177848984
FALSE,0.231,-334.3864927
FALSE,0.274,1143.51373
FALSE,0.286,19.6216963
TRUE,0.26,918.5308614
FALSE,0.212,340.4687709
FALSE,0.27,40.33974699
FALSE,0.26,-833.2464254
FALSE,0.284,-698.5399605
FALSE,0.223,-957.7684425
FALSE,0.207,30.42618678
TRUE,0.23,-776.9743113
FALSE,0.215,1006.182017
FALSE,0.254,-512.0788834
TRUE,0.289,-36.64372702
FALSE,0.235,1243.707908
FALSE,0.281,-657.9189636
FALSE,0.244,-681.7143719
FALSE,0.212,-1052.256085
TRUE,0.231,-290.087018
FALSE,0.244,-478.3814711
FALSE,0.217,276.5012329
FALSE,0.218,-652.5687886
TRUE,0.22,155.9838914
FALSE,0.213,-528.9475847
FALSE,0.225,-510.1656913
FALSE,0.273,-484.407626
TRUE,0.222,-648.0984182
FALSE,0.203,993.5742931
FALSE,0.271,-98.36956513
TRUE,0.294,196.8550316
FALSE,0.266,-988.7677823
FALSE,0.297,-192.6833857
