is_nine,pred_prob,f_1,f_2,f_3,f_4,f_5
FALSE,0,-210.8043565,404.5010102,-839.5858178,437.5687886,287.2466655
FALSE,0,-755.8097736,134.7741254,-249.5911188,-727.9944544,-145.325498
FALSE,0,690.1337158,-339.2338294,523.9655057,891.1032103,349.1109306
FALSE,0,186.8807651,762.6718345,-401.0948151,369.4625955,574.9850919
FALSE,0,-773.4865023,41.56327021,-233.8142936,-627.4976068,-373.2740164
FALSE,0,-387.9226515,344.6439224,-570.7164365,118.1191375,638.6674234
FALSE,0,-620.7734349,774.7750611,440.5010645,178.5836481,-27.94415769
FALSE,0.001,169.5100008,176.9995487,15.51371228,357.7897843,122.0141007
FALSE,0,314.5075863,635.3535943,-435.9915182,450.2936372,-242.6152297
FALSE,0,741.927577,-628.6689732,49.97518585,113.8583822,1482.55872
FALSE,0,40.75403938,6.764907165,704.1860421,11.42605132,645.0148048
FALSE,0,-34.75448711,775.5397269,-412.8920596,237.039902,9.616480044
FALSE,0,639.8491195,51.45967681,87.60425852,653.6426609,943.8509019
FALSE,0,-895.8252914,-42.90434665,12.9547278,-443.7567177,-238.1494636
FALSE,0,-395.1385609,-387.1752661,100.5690852,-127.4330503,1050.056154
FALSE,0,-15.22274147,591.6723975,-540.4712773,581.6678709,369.9850813
FALSE,0,-291.4325019,277.5707837,-426.5649819,891.1877077,519.6210133
FALSE,0,-655.1517506,105.1373093,944.043862,309.6113101,561.3279878
FALSE,0,-152.6596609,689.6395804,-374.6689075,-75.52801849,366.706578
FALSE,0,-79.46782481,394.0410919,-300.6505822,150.5190661,-387.1696369
FALSE,0,-133.36763,129.5380234,660.1770259,-2.79122079,547.7391221
FALSE,0,-285.66338,321.7833706,251.6133573,314.6666199,308.6089272
FALSE,0,70.35194172,41.33947019,-233.3650772,-9.562016637,256.7723147
FALSE,0,-532.5489901,604.2109076,-302.2353699,135.6408694,261.3590503
FALSE,0,1501.471426,-324.7246469,482.8897443,1063.860211,406.1765605
FALSE,0,-457.2577571,622.2056812,-449.7100766,405.4450744,414.8026217
FALSE,0,241.0240099,796.9324502,-337.4615304,413.0982557,469.4901091
FALSE,0,810.9879572,-522.1446615,267.1305249,568.1550796,841.6715312
FALSE,0,-846.6212235,210.1900839,-92.98375166,-315.6756674,128.8774103
FALSE,0,-677.110355,-158.97867,150.8936043,517.7418369,180.591777
FALSE,0,-893.9880556,369.0066295,-247.1824779,-258.3022068,54.88035628
FALSE,0,-887.9516301,107.2703711,471.5345639,244.4610855,870.9731939
FALSE,0,215.378389,863.3916125,394.8487642,428.3419803,542.0816853
FALSE,0,302.8870087,-28.30830123,-1174.175386,246.3937513,-465.2980626
FALSE,0,-417.0059727,92.64615661,-707.0440804,899.4168619,163.7160064
FALSE,0,-910.9930583,288.675501,-185.4506617,-319.1297755,-21.1190963
FALSE,0,-841.8965006,34.86087406,114.4648876,-444.9407163,-358.8974102
FALSE,0,-832.1601685,346.6978736,-351.0275258,-576.1992896,193.391541
FALSE,0,-586.9289166,264.0960034,-588.8435218,582.1641032,-233.2174681
FALSE,0,-412.0297351,451.1094599,-255.3970893,161.2805154,-54.17242535
FALSE,0,-651.3245926,-122.1643813,-10.30778512,-120.5658737,310.0510983
FALSE,0,7.279187972,-26.52439867,159.1522685,-208.3355159,618.101383
FALSE,0,-888.7428273,208.8509744,124.6171394,65.66203262,87.56416759
FALSE,0,188.3401588,458.5683521,84.6516471,769.2248861,440.9216862
FALSE,0,111.0111187,922.2831412,-241.9204017,436.0592427,676.1998184
FALSE,0,-44.797269,223.6146821,435.4994748,-246.7912619,63.38438423
FALSE,0,-509.9189407,-271.3525835,867.8564078,723.4533271,431.9555508
FALSE,0,15.30662045,496.6887798,163.0829174,56.59286004,536.7228664
FALSE,0,-479.196123,21.79019181,-57.13429682,-41.58268201,1116.087242
FALSE,0,-281.3335096,6.054909396,648.8287724,215.1144976,569.449122
FALSE,0.177,-673.4022261,-209.467272,-492.9790292,181.3729424,-567.8172681
FALSE,0.136,613.9675495,-117.3596186,-431.3084856,577.7770304,-12.35111606
TRUE,0.107,665.7102704,-545.0746651,-431.1701098,-237.1487049,799.4813082
FALSE,0.192,1427.679803,-298.7435963,783.4861628,298.131808,-360.5302586
FALSE,0.168,-690.2781861,537.0076955,794.0826634,215.1321331,308.255188
FALSE,0.14,394.1952308,-323.1970322,648.8270228,407.2788645,383.6674082
FALSE,0.163,-761.1055183,553.7007058,-242.839919,32.84383231,-120.1863299
FALSE,0.168,-741.7588857,-199.702665,515.7367066,-161.4938775,443.8470077
FALSE,0.157,-646.8909742,687.8220559,251.7525234,370.2750572,25.80579721
FALSE,0.13,885.6380618,1424.110252,346.5304941,365.0935868,549.4410526
TRUE,0.112,-419.2464735,-731.0646686,222.8952997,-135.2205923,-646.5479327
TRUE,0.183,2125.465093,-267.7714563,874.6053185,945.965938,-77.73989759
FALSE,0.107,-364.3930535,-392.1227274,243.9523614,-373.3012753,399.03016
TRUE,0.138,677.3806968,-345.8642954,186.6464321,-391.8462135,1091.440358
FALSE,0.174,-323.2887399,106.8177633,264.652102,-195.6971341,889.7757746
FALSE,0.163,-313.7390755,531.3051983,310.3290741,607.5467525,182.5097245
FALSE,0.18,-870.0393183,510.9908164,-44.15624628,43.49276742,-80.28214201
FALSE,0.126,-125.8290995,747.7378893,337.9226751,635.0156834,324.8680847
FALSE,0.109,-416.7960943,78.31579737,118.5211465,-498.0411441,-78.3920495
FALSE,0.11,-314.6210246,139.1555179,-886.4384534,-298.2481805,-148.7768061
FALSE,0.182,443.712038,861.5535503,103.661939,-378.6420712,-440.7195043
TRUE,0.109,812.9795401,93.67496791,223.3244791,438.2961271,290.4998298
FALSE,0.13,286.8740384,-462.1652742,-855.3593786,108.2781705,-165.8134906
TRUE,0.171,47.22814939,-3.668051542,588.703298,-231.9342632,42.40717757
TRUE,0.171,-718.1732516,-279.2324394,-310.6303835,-512.004323,-45.72301931
FALSE,0.156,326.9499576,-585.2274963,863.9214754,170.3240212,436.9942418
FALSE,0.109,404.1501667,775.9421256,101.0566447,468.6612852,-23.4772437
FALSE,0.126,38.66129348,1050.162648,458.1089717,-343.1629097,700.4799341
FALSE,0.141,824.9088246,696.1281711,-490.285223,510.8652223,317.4896905
FALSE,0.113,309.3602946,1257.267705,352.2764664,-353.3557544,677.0852224
FALSE,0.165,-756.8937987,775.5442891,297.9467887,516.7386265,292.2505158
FALSE,0.109,-555.6834424,-735.9112213,395.0940386,-343.8468788,98.31108283
FALSE,0.1,115.0953433,548.8207726,441.6731039,0.703215476,151.8016808
FALSE,0.116,307.4603719,-13.26813356,77.60538637,-637.8886875,-407.363295
TRUE,0.127,-26.2995791,1198.13248,295.7836693,-757.7004437,338.7062768
FALSE,0.146,567.7435474,-120.6710617,-395.7678348,-7.807163474,296.2515711
FALSE,0.172,209.701708,-27.89475227,342.5934385,-284.8260653,692.0890704
FALSE,0.152,126.2441679,-45.77371938,-422.9903823,-502.5177314,-134.3964937
FALSE,0.147,-165.1125447,-621.5054718,624.7568687,-329.3714316,624.3772186
FALSE,0.149,13.43727627,1160.073445,-283.1831375,2.306316311,436.4233753
FALSE,0.117,408.3554274,652.8289719,-9.780979043,375.5927345,57.58318919
FALSE,0.118,-447.3215185,-736.4566119,56.49747087,-600.2917398,-221.5187268
FALSE,0.182,1180.013254,-126.9335075,-446.4845553,-78.47213049,-349.4761725
FALSE,0.118,414.1115733,306.5688424,-735.5907447,396.8277135,-158.7356758
FALSE,0.162,-303.0542424,-23.10944167,-403.5803892,259.1969401,413.4081365
TRUE,0.147,-419.6491213,40.18377513,368.7130474,212.8637197,544.769156
FALSE,0.163,972.2458395,-361.1786959,-157.5583213,-284.150435,135.2703474
TRUE,0.162,580.9721084,94.77452943,-457.9966644,-739.2430495,-725.4645608
FALSE,0.176,-863.2632174,269.3028015,150.6133143,-216.9972255,492.1000448
FALSE,0.113,-604.1082965,-58.26841192,-177.8746496,-120.0500574,273.2649967
FALSE,0.237,-53.22588191,888.0256656,-645.6516814,-58.9475919,106.2701802
TRUE,0.21,137.3570457,-214.1864,-332.4507606,-137.7995972,-194.6174515
TRUE,0.23,-683.9248178,-267.1757456,-135.7743788,655.4973266,-532.8475884
FALSE,0.215,-336.9588009,-248.0361963,570.4500971,-116.3502652,657.835891
FALSE,0.252,-691.7141097,-88.68469872,345.5038676,41.27494414,-60.68496075
FALSE,0.287,267.7948944,229.6616652,-784.4231478,-804.2617966,-224.127951
FALSE,0.251,-633.4960305,-277.7010469,-184.3293697,415.4663055,-337.4420593
TRUE,0.263,837.3158778,-343.7600886,40.59684365,-352.7926729,854.7870405
FALSE,0.277,1312.783348,1370.741933,607.6535424,321.422331,450.9251064
TRUE,0.226,716.5833573,-788.9514832,365.8952566,-981.0488313,813.5854854
TRUE,0.295,633.7829697,39.80217018,-380.630156,-285.7999705,173.0066301
FALSE,0.242,-217.9456402,-24.50865506,-250.0263135,504.8053987,60.31324954
TRUE,0.207,332.5321053,-709.1208481,-26.81977755,187.5084474,-87.05874134
TRUE,0.297,309.326129,-123.477649,41.89179249,-285.7013668,1027.481366
FALSE,0.238,-447.9872783,-821.8632679,629.2429309,32.2201167,-157.9135542
FALSE,0.262,-697.5809327,198.5839376,-517.803137,-544.3684129,265.4380363
FALSE,0.217,1.069522896,397.711282,371.5601263,-207.6728049,-1008.755136
TRUE,0.257,-491.0110607,-921.973241,746.660325,715.4904998,-455.5118614
FALSE,0.21,33.74558648,692.8831142,-85.96825631,-493.0236694,-376.4930079
TRUE,0.217,948.0130294,-97.00530335,258.0922331,495.7561103,296.5650351
TRUE,0.295,337.5340613,-401.528384,942.9878871,518.9114668,-232.7643641
FALSE,0.217,-94.67959254,279.0575359,-555.5190359,-23.75875493,-223.316296
FALSE,0.224,-450.9826821,315.2017612,409.3610432,440.7891849,-21.91936287
FALSE,0.24,-271.9621986,556.0450259,-15.34028306,-481.1906917,-435.9770065
TRUE,0.279,29.43880509,711.6322472,-312.4880372,-165.0460099,-48.72327422
FALSE,0.237,-883.3225678,256.7865245,-253.2770002,-451.1491392,163.9032233
FALSE,0.25,123.4456574,796.9101532,84.23363376,-191.0041539,138.1554733
TRUE,0.245,-16.74129295,1041.621399,111.7552184,-662.2953108,-235.803563
FALSE,0.281,-859.8491351,-70.97920812,-171.9630359,-379.7405879,-186.787091
FALSE,0.242,-316.675507,395.8117847,-740.9915691,-148.3047733,-126.4447111
FALSE,0.228,-629.2547479,-47.89965102,-708.2817297,163.4553922,-156.2702427
FALSE,0.243,-941.0423298,-340.8814603,523.5333967,464.6022077,106.1463015
FALSE,0.202,-65.8239089,-90.17068171,18.46333009,-798.3447295,-453.0526966
TRUE,0.298,213.9031553,185.490888,245.1206547,99.20686714,35.03212399
FALSE,0.232,53.68024286,-1309.795805,767.2584264,-118.8561809,79.79384028
FALSE,0.207,-231.5154635,-802.0846304,-291.1282964,-83.45452719,178.230527
FALSE,0.266,75.14984255,-24.25714147,-392.6987338,-269.4790488,-309.3380909
FALSE,0.25,-384.5617058,782.3515216,-77.6228418,378.5589329,-97.57071553
FALSE,0.213,-147.6022961,1002.805047,215.0732037,23.09691785,-405.6299585
FALSE,0.247,28.32044657,544.7486176,-535.7335251,261.3936751,-414.1358637
FALSE,0.206,157.3512235,586.0678636,794.8450279,530.6847144,-328.5479941
TRUE,0.252,-626.0013583,-674.4449067,-236.2747846,840.1176484,-383.6605958
FALSE,0.206,1090.533611,636.092769,1091.221571,201.964921,-634.9783805
FALSE,0.265,387.452038,582.1863005,-331.8500173,-124.300107,-13.85136018
FALSE,0.222,-139.8303684,213.7107261,-471.607406,-53.49287142,-59.34368226
TRUE,0.343,148.6989306,-131.6289807,258.3778675,-93.78038202,292.4622304
TRUE,0.398,835.2362397,-394.8891898,150.4185243,-102.3925123,-408.6304674
FALSE,0.333,335.5430173,900.7289028,-423.6049622,110.8281674,-57.30478454
FALSE,0.381,-734.876634,450.3745347,-261.1953749,350.6715589,-164.4428688
TRUE,0.393,8.875805137,46.1149436,-1052.511814,691.6253725,88.54151895
