is_nine,pred_prob,f_1,f_2
FALSE,0,-507.4108137,-459.3637711
FALSE,0,149.4886734,-64.44130436
FALSE,0,-633.7614379,-532.9972236
FALSE,0,181.888046,654.4209126
FALSE,0,-184.3680646,-800.0076622
FALSE,0,-685.312452,-385.4643634
FALSE,0,-63.91926071,-906.9486151
FALSE,0,8.839637769,-521.2371146
TRUE,0.013,-598.3776502,46.56215373
FALSE,0,-742.1161586,-179.0212218
FALSE,0,725.9800181,58.68307655
FALSE,0.006,126.1290071,-631.680879
FALSE,0,-655.2123435,-336.6287189
FALSE,0,695.9874135,-82.88670425
FALSE,0,-566.7727277,-221.597918
FALSE,0,-82.91061326,-632.3055999
FALSE,0,-80.70396413,-223.0394617
FALSE,0,874.9175547,-625.947068
FALSE,0,-373.2157571,-576.1213867
FALSE,0,-765.7134801,-10.48136972
FALSE,0.002,323.2982972,-202.004427
FALSE,0,-131.971493,-869.6352932
FALSE,0,-289.7407167,-828.7472943
FALSE,0,4.957721521,755.6760926
FALSE,0.001,-5.263162926,-600.7987426
FALSE,0,-320.1045735,-518.5911327
FALSE,0,633.979868,664.7652496
FALSE,0,-448.0313539,-456.3449767
FALSE,0,206.8459966,453.9201589
FALSE,0,-497.9003308,-563.8113299
FALSE,0.002,693.5523406,-244.0151003
FALSE,0.001,-232.6128931,-957.4050544
FALSE,0,-745.9657675,22.377041
FALSE,0,33.33661064,-58.56893905
FALSE,0,-138.5707134,-341.1595068
FALSE,0,-510.3100937,-473.4161599
FALSE,0.004,96.27749036,83.93729588
FALSE,0,-619.3228914,-132.0932673
FALSE,0,-526.9020008,-745.5329506
FALSE,0,-399.1271798,-312.9248203
FALSE,0,-354.5754871,-738.1925189
FALSE,0,-629.9481112,-597.4394851
FALSE,0.002,-222.4018572,10.75384067
FALSE,0,-103.0319509,-303.5012731
FALSE,0,-731.5281157,-653.4161416
FALSE,0,209.4118967,-242.1392152
FALSE,0,-53.53030998,-899.9707049
FALSE,0.001,-408.4987217,253.8763113
FALSE,0,1016.878215,-206.5026635
FALSE,0,241.8183281,-823.440592
TRUE,0.183,-287.2032701,615.6816082
TRUE,0.2,908.4335414,-643.5610043
TRUE,0.122,175.9435284,-331.5526063
FALSE,0.144,621.2477643,302.4573909
FALSE,0.106,-1115.52009,-27.87869402
FALSE,0.123,418.8626785,-196.5855071
FALSE,0.134,765.1032839,-138.3850086
FALSE,0.138,43.06874873,757.5942915
FALSE,0.118,494.5862386,481.985394
FALSE,0.138,532.902651,-280.3772176
FALSE,0.166,311.8771359,-947.5703516
FALSE,0.173,-881.886035,408.8036115
TRUE,0.173,-796.2104375,-479.9040956
FALSE,0.183,-183.7386636,205.5259775
FALSE,0.108,738.0385452,-265.6543276
FALSE,0.128,160.7304014,1300.388792
FALSE,0.109,1218.233322,-620.8417255
FALSE,0.108,-124.6160863,-827.9372353
FALSE,0.119,1512.613461,-236.0413394
FALSE,0.111,966.2684188,-444.4866521
FALSE,0.176,-922.8312188,1191.1592
FALSE,0.129,-47.24693581,-305.2797062
FALSE,0.153,-857.5278944,110.695085
TRUE,0.142,-263.9538428,376.9720893
FALSE,0.146,-85.49483671,80.50314398
FALSE,0.184,888.2408512,-911.0246389
FALSE,0.14,357.8668335,393.9221399
FALSE,0.177,972.7976664,-277.0833255
TRUE,0.111,577.8032088,-372.3103558
FALSE,0.145,20.47759942,83.47530888
FALSE,0.183,371.3336364,482.4696535
FALSE,0.106,167.1726639,-445.1159627
FALSE,0.2,-649.9661159,490.3541467
FALSE,0.138,232.0586868,-279.9998358
FALSE,0.177,1269.338328,-68.26145547
FALSE,0.14,296.007638,194.6110489
FALSE,0.146,1120.251742,403.0380643
FALSE,0.103,1240.716494,-263.485048
FALSE,0.113,646.8014942,629.6316194
FALSE,0.109,985.2587381,1051.721242
FALSE,0.19,-359.4973122,-390.1505458
FALSE,0.156,-1122.995348,212.9274982
FALSE,0.132,-880.8977468,-102.9448698
FALSE,0.105,-225.2445235,-3.653270226
FALSE,0.193,992.4762876,467.0019562
FALSE,0.113,-554.0711543,586.4440093
FALSE,0.137,-656.1964738,-944.7622116
FALSE,0.109,253.0407004,304.9002243
FALSE,0.159,-893.1853424,-609.0187427
FALSE,0.101,-458.0631872,776.9717982
FALSE,0.287,-1169.385623,410.2442259
FALSE,0.213,-489.6477074,-327.8674255
FALSE,0.276,847.2377497,-500.8163716
FALSE,0.226,-45.03154955,281.5992929
FALSE,0.249,39.7491106,675.6463548
FALSE,0.202,990.4732852,-29.88320097
FALSE,0.227,490.7165177,-169.2753289
FALSE,0.201,-640.7329695,313.523307
FALSE,0.237,-1180.18222,-370.8288362
TRUE,0.267,-398.7502801,6.074644319
