is_nine,pred_prob,f_1
FALSE,0,-210.7976254
FALSE,0,-755.8090999
FALSE,0,690.1384827
FALSE,0,186.8814231
FALSE,0,-773.4872421
FALSE,0,-387.9216089
FALSE,0,-620.772511
FALSE,0.001,169.5160069
FALSE,0,314.4995756
FALSE,0,741.926304
FALSE,0,40.7557091
FALSE,0,-34.74960401
FALSE,0,639.8501404
FALSE,0,-895.8236147
FALSE,0,-395.147745
FALSE,0,-15.21667058
FALSE,0,-291.4235619
FALSE,0,-655.1702338
FALSE,0,-152.6494967
FALSE,0,-79.46817071
FALSE,0,-133.3597446
FALSE,0,-285.6620884
FALSE,0,70.3648847
FALSE,0,-532.5452924
FALSE,0,1501.471968
FALSE,0,-457.2546975
FALSE,0,241.0278744
FALSE,0,810.9897194
FALSE,0,-846.6196607
FALSE,0,-677.1034842
FALSE,0,-893.98508
FALSE,0,-887.9599551
FALSE,0,215.3767946
FALSE,0,302.8854888
FALSE,0,-416.9900889
FALSE,0,-910.9905104
FALSE,0,-841.8968001
FALSE,0,-832.1558941
FALSE,0,-586.9167852
FALSE,0,-412.0221059
FALSE,0,-651.3230948
FALSE,0,7.290078246
FALSE,0,-888.7473565
FALSE,0,188.3435679
FALSE,0,111.0102645
FALSE,0,-44.7928801
FALSE,0,-509.9278643
FALSE,0,15.31180387
FALSE,0,-479.1969482
FALSE,0,-281.3461333
FALSE,0.177,-673.3991381
FALSE,0.136,613.972446
TRUE,0.107,665.7056666
FALSE,0.192,1427.685668
FALSE,0.168,-690.275419
FALSE,0.14,394.1926986
FALSE,0.163,-761.1103631
FALSE,0.168,-741.7661626
FALSE,0.157,-646.8888212
FALSE,0.13,885.6279615
TRUE,0.112,-419.2556765
TRUE,0.183,2125.458219
FALSE,0.107,-364.3938898
TRUE,0.138,677.3916723
FALSE,0.174,-323.2922692
FALSE,0.163,-313.7249405
FALSE,0.18,-870.0444932
FALSE,0.126,-125.8193633
FALSE,0.109,-416.7950044
FALSE,0.11,-314.6173212
FALSE,0.182,443.704494
TRUE,0.109,812.9865035
FALSE,0.13,286.8775285
TRUE,0.171,47.22665995
TRUE,0.171,-718.1715799
FALSE,0.156,326.9319759
FALSE,0.109,404.1312552
FALSE,0.126,38.66648326
FALSE,0.141,824.9088179
FALSE,0.113,309.3659143
FALSE,0.165,-756.8868993
FALSE,0.109,-555.6898168
FALSE,0.1,115.0998634
FALSE,0.116,307.4643493
TRUE,0.127,-26.29592299
FALSE,0.146,567.7374744
FALSE,0.172,209.7064422
FALSE,0.152,126.2551352
FALSE,0.147,-165.1119878
FALSE,0.149,13.43682964
FALSE,0.117,408.3616936
