is_nine,pred_prob,f_1,f_2
FALSE,0,-291.2765992,337.8316784
FALSE,0,-104.9404257,-62.71012665
FALSE,0,-680.3311746,-153.2691715
FALSE,0,521.9587784,909.6811869
FALSE,0.007,1059.109879,312.9752118
FALSE,0,-789.6883813,-25.53909052
FALSE,0.001,11.74283878,-191.3281669
FALSE,0.007,496.0196255,524.875957
FALSE,0,813.5819078,770.0191201
FALSE,0,575.0983166,365.7453403
FALSE,0,789.3404589,813.8937317
FALSE,0,-817.2399568,-382.5752486
FALSE,0,214.0170393,-275.2704126
FALSE,0,242.2190572,182.6582898
FALSE,0,316.2126135,-231.6993235
FALSE,0,256.4229854,-283.9134693
FALSE,0,390.2029657,-153.2413509
FALSE,0,616.9328257,179.3342036
FALSE,0,-397.919234,204.4250937
FALSE,0.014,547.5490859,-487.9600277
FALSE,0,790.1007793,1578.787328
FALSE,0,613.0446666,-259.3072352
FALSE,0,717.4310136,211.1484663
FALSE,0,540.8384754,1039.121546
FALSE,0,-706.314022,-358.7719997
FALSE,0,-102.4365708,-235.7595707
FALSE,0.001,-501.8480076,-667.4344331
FALSE,0,256.2820302,-653.6837004
FALSE,0,506.4633058,302.8281642
FALSE,0,-626.204244,1099.283498
FALSE,0,263.5056378,645.2073485
FALSE,0,67.02799119,69.78717703
FALSE,0,-791.4913379,-368.5844119
FALSE,0,-21.30363468,-10.32427338
FALSE,0,-913.1988517,-161.73578
FALSE,0.001,-614.3708256,-267.1982628
FALSE,0,-224.5797182,-77.03975654
FALSE,0.002,260.9253623,-225.6563525
FALSE,0,-132.5974471,-100.6812831
FALSE,0,-480.2997103,-218.4076439
FALSE,0.001,-136.8706111,0.422640421
FALSE,0,0.126849673,-744.7380769
FALSE,0,-271.5779355,113.1631136
FALSE,0,944.1717047,73.2035702
FALSE,0.001,1127.947126,464.2350104
FALSE,0,-161.1961977,64.94746021
FALSE,0,531.3095646,-93.25692016
FALSE,0,77.26944705,265.9757387
FALSE,0.001,357.3251683,-294.8006928
FALSE,0,734.6744944,190.1956699
FALSE,0.16,-384.9628335,-330.4481033
FALSE,0.116,-193.3318908,-394.6352555
FALSE,0.196,-853.6064875,444.6551685
FALSE,0.115,588.7221869,-166.1847116
FALSE,0.172,939.2609608,-75.13279003
FALSE,0.182,8.977474382,-361.5347572
FALSE,0.113,-411.7304876,352.8586903
FALSE,0.115,-146.7175076,-900.1773312
FALSE,0.169,302.1440564,-570.0467196
FALSE,0.117,-649.4026013,-496.6268798
FALSE,0.122,-7.150190169,811.3055859
FALSE,0.137,884.2291231,1239.893565
FALSE,0.117,99.72823325,-335.9497937
FALSE,0.114,1380.56567,871.0384769
FALSE,0.2,-516.8439755,-829.1052771
FALSE,0.166,-955.784195,330.2146671
FALSE,0.114,1213.647546,493.1556218
FALSE,0.152,27.43727028,787.3997828
FALSE,0.138,-204.2829014,-596.7092024
FALSE,0.158,515.7729983,-454.7832101
FALSE,0.134,1419.360595,416.5969468
FALSE,0.176,-628.2709968,-43.15856917
FALSE,0.121,-506.3573931,-619.7551492
FALSE,0.104,73.55047015,-845.9253081
FALSE,0.149,304.0025973,4.093893557
FALSE,0.19,494.3536054,-343.2977295
FALSE,0.121,-172.5690349,355.7814653
FALSE,0.102,914.0058144,395.7425599
FALSE,0.1,204.983243,-448.8603569
FALSE,0.111,-885.9887933,284.47547
FALSE,0.159,6.349097605,498.5875542
FALSE,0.146,-293.5601329,-557.5751688
FALSE,0.108,-262.0074457,-622.6274722
FALSE,0.136,360.7603457,198.5287061
FALSE,0.12,240.1570438,-836.2294654
FALSE,0.118,-510.6095445,374.4485882
TRUE,0.129,-789.0190131,-58.67801612
FALSE,0.101,164.0018394,-215.2012981
FALSE,0.129,749.4406362,-368.9807449
TRUE,0.107,740.1071174,-232.0816665
FALSE,0.101,-94.54504851,-890.5895427
FALSE,0.142,6.056137866,1114.972824
FALSE,0.151,-730.1996507,642.3753072
FALSE,0.148,-508.3601695,-121.1711437
