is_nine,pred_prob,f_1,f_2,f_3
FALSE,0,-210.8048654,404.5014288,-839.5337131
FALSE,0,-755.8089513,134.775963,-249.5643449
FALSE,0,690.132997,-339.2260377,524.0943656
FALSE,0,186.8791149,762.6691353,-401.1757424
FALSE,0,-773.4854244,41.56595166,-233.7980815
FALSE,0,-387.9206072,344.645703,-570.6974359
FALSE,0,-620.7746224,774.7722077,440.493689
FALSE,0.001,169.5108178,176.9940953,15.36147093
FALSE,0,314.5085779,635.3665218,-435.8533915
FALSE,0,741.9285943,-628.6630728,50.06701622
FALSE,0,40.7540107,6.773586893,704.2690796
FALSE,0,-34.7555725,775.5397153,-412.9148924
FALSE,0,639.850195,51.45802909,87.60757496
FALSE,0,-895.8244776,-42.90117,12.98241983
FALSE,0,-395.1377898,-387.1683222,100.7360728
FALSE,0,-15.22334484,591.6701333,-540.5293416
FALSE,0,-291.4345003,277.5727163,-426.5128439
FALSE,0,-655.1520598,105.1517193,944.2273773
FALSE,0,-152.6601272,689.6369041,-374.6705913
FALSE,0,-79.4652867,394.0440414,-300.5920114
FALSE,0,-133.3706457,129.5335565,660.1113977
FALSE,0,-285.6639569,321.7934213,251.6860068
FALSE,0,70.35072937,41.32525476,-233.5373428
FALSE,0,-532.5490844,604.2153999,-302.1515424
FALSE,0,1501.473563,-324.7156099,483.0078469
FALSE,0,-457.2611374,622.2078441,-449.6540377
FALSE,0,241.0229342,796.9260878,-337.5702049
FALSE,0,810.9866595,-522.1449874,267.1141755
FALSE,0,-846.6204525,210.1882763,-93.01678322
FALSE,0,-677.1113705,-158.9814484,150.8675125
FALSE,0,-893.9869793,369.0036524,-247.2129294
FALSE,0,-887.9511145,107.266534,471.4488374
FALSE,0,215.379759,863.3923763,394.869977
FALSE,0,302.8874962,-28.31093906,-1174.225535
FALSE,0,-417.0056728,92.63585826,-707.1256104
FALSE,0,-910.9918709,288.6734189,-185.4839536
FALSE,0,-841.8950563,34.86224889,114.4521059
FALSE,0,-832.1594268,346.6942648,-351.0653435
FALSE,0,-586.9291281,264.0933036,-588.818817
FALSE,0,-412.0285772,451.1093911,-255.4011682
FALSE,0,-651.3249123,-122.1646225,-10.30756227
FALSE,0,7.27819394,-26.53726133,159.0080894
FALSE,0,-888.7439463,208.8512486,124.5940567
FALSE,0,188.3398882,458.5675582,84.59173618
FALSE,0,111.0100031,922.2807946,-241.9635361
FALSE,0,-44.79941339,223.6096721,435.4294473
FALSE,0,-509.9176946,-271.3423779,868.0126909
FALSE,0,15.30450792,496.6872155,163.0497111
FALSE,0,-479.1942905,21.78664427,-57.12135223
FALSE,0,-281.3338208,6.070200241,648.9706758
FALSE,0.177,-673.4010604,-209.464938,-492.9625345
FALSE,0.136,613.9671453,-117.370565,-431.502767
TRUE,0.107,665.7104837,-545.0645612,-431.0020731
FALSE,0.192,1427.679473,-298.7451853,783.4737545
FALSE,0.168,-690.279112,537.0036488,794.0640693
FALSE,0.14,394.1945175,-323.1989209,648.8371952
