is_nine,pred_prob,f_1
FALSE,0,-291.2770033
FALSE,0,-104.9422894
FALSE,0,-680.3293932
FALSE,0,521.9578637
FALSE,0.007,1059.111019
FALSE,0,-789.6868066
FALSE,0.001,11.74335536
FALSE,0.007,496.019356
FALSE,0,813.5855561
FALSE,0,575.1011851
FALSE,0,789.3422781
FALSE,0,-817.2395487
FALSE,0,214.0178026
FALSE,0,242.2179823
FALSE,0,316.2098607
FALSE,0,256.4246459
FALSE,0,390.2034389
FALSE,0,616.933453
FALSE,0,-397.9192215
FALSE,0.014,547.5499774
FALSE,0,790.1003991
FALSE,0,613.0455111
FALSE,0,717.4323473
FALSE,0,540.8376683
FALSE,0,-706.3134735
FALSE,0,-102.438121
FALSE,0.001,-501.8476269
FALSE,0,256.2806913
FALSE,0,506.4640247
FALSE,0,-626.2053244
FALSE,0,263.503
FALSE,0,67.02609094
FALSE,0,-791.4904835
FALSE,0,-21.3041757
FALSE,0,-913.1987999
FALSE,0.001,-614.3690187
FALSE,0,-224.5802397
FALSE,0.002,260.9259922
FALSE,0,-132.5971002
FALSE,0,-480.3003329
FALSE,0.001,-136.8692263
FALSE,0,0.126708766
FALSE,0,-271.5783775
FALSE,0,944.1733747
FALSE,0.001,1127.947272
FALSE,0,-161.1979632
FALSE,0,531.3075895
FALSE,0,77.27118989
FALSE,0.001,357.3259473
FALSE,0,734.674656
FALSE,0.16,-384.9635099
FALSE,0.116,-193.3313617
FALSE,0.196,-853.6067277
FALSE,0.115,588.7206836
FALSE,0.172,939.2591636
FALSE,0.182,8.976128112
FALSE,0.113,-411.7311234
FALSE,0.115,-146.7163783
FALSE,0.169,302.1443769
FALSE,0.117,-649.403663
FALSE,0.122,-7.150821316
FALSE,0.137,884.2289505
FALSE,0.117,99.72811241
FALSE,0.114,1380.56753
FALSE,0.2,-516.8443848
FALSE,0.166,-955.7843783
FALSE,0.114,1213.647986
FALSE,0.152,27.43904492
FALSE,0.138,-204.2817708
FALSE,0.158,515.7740892
FALSE,0.134,1419.361771
FALSE,0.176,-628.2699062
FALSE,0.121,-506.3577756
FALSE,0.104,73.55012853
FALSE,0.149,304.0014634
FALSE,0.19,494.3569694
FALSE,0.121,-172.567724
FALSE,0.102,914.0066632
FALSE,0.1,204.9840927
FALSE,0.111,-885.9887102
FALSE,0.159,6.351143842
FALSE,0.146,-293.5601043
FALSE,0.108,-262.0074485
FALSE,0.136,360.7590452
FALSE,0.12,240.1582573
FALSE,0.118,-510.609868
TRUE,0.129,-789.0183013
FALSE,0.101,164.0013778
FALSE,0.129,749.4395947
TRUE,0.107,740.1058756
FALSE,0.101,-94.54415766
FALSE,0.142,6.056166898
FALSE,0.151,-730.2016738
FALSE,0.148,-508.3594226
FALSE,0.112,-591.6790328
FALSE,0.192,-464.8884894
FALSE,0.149,-886.4294602
FALSE,0.113,505.6397174
FALSE,0.154,459.8645152
FALSE,0.178,955.8755267
TRUE,0.203,1.502564596
FALSE,0.251,708.1826323
FALSE,0.271,-156.1418912
FALSE,0.203,-411.9264435
TRUE,0.215,53.25492922
FALSE,0.284,637.7616366
TRUE,0.212,-278.0145774
TRUE,0.227,-90.11291631
TRUE,0.249,-717.0249218
FALSE,0.257,-718.2354581
FALSE,0.239,276.8747251
FALSE,0.293,-512.4807107
FALSE,0.271,843.3639586
FALSE,0.23,885.2294082
FALSE,0.226,687.8465241
FALSE,0.281,384.0446253
FALSE,0.223,796.7669615
FALSE,0.245,-666.5528653
FALSE,0.252,1387.722511
FALSE,0.27,-747.2529194
FALSE,0.204,-876.4170261
FALSE,0.203,-407.9854026
FALSE,0.207,593.9077795
TRUE,0.23,871.1627835
TRUE,0.262,-356.3763735
TRUE,0.268,-180.6202037
FALSE,0.275,-224.9799495
TRUE,0.216,638.9712488
TRUE,0.28,-333.3973843
TRUE,0.253,597.8744022
FALSE,0.267,-824.8692803
FALSE,0.27,-804.8435955
TRUE,0.265,983.791917
FALSE,0.295,825.781218
FALSE,0.227,388.3287431
TRUE,0.242,-179.5554067
FALSE,0.255,-710.9158937
FALSE,0.248,779.2954872
FALSE,0.211,-343.8867202
FALSE,0.296,652.368818
FALSE,0.211,-318.0010505
FALSE,0.216,-318.931413
FALSE,0.299,-767.9838387
FALSE,0.263,-325.644979
